"Страна";"Раздел";"Step_name";"Кнопка_рус";"Кнопка_укр";"Текст_рус";"Текст_укр";"Дата изменения"
"🇩🇪 Германия";"МЕДИЦИНА";"med_main";"Медицина";"Медицина";"Выберите интересующую информацию:";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_vacine_covid";"Прививка/бустер от COVID-19";"Щеплення/бустер від COVID-19";"Коронавирус: информация для беженцев и соискателей убежища: https://handbookgermany.de/ru/live/coronavirus/coronavirus-refugees.html  Коронавирус: вакцинация: https://handbookgermany.de/ru/live/coronavirus/coronavirus-vaccination.html";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_no_permit";"Нет";"Ні";"Пожалуйста, обратитесь за разрешением на пребывание (Aufenthaltserlaubnis) в ведомства вашего города пребывания: https://bamf-navi.bamf.de/de/Themen/Behoerden/";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_sceduled";"Плановый осмотр у врача";"Плановий огляд у лікаря";"Общую информацию о порядке получения врачебной помощи Вы можете получить на сайтах: https://handbookgermany.de/de/ukraine-info/ru/medizinische-versorgung.html http://gesundheit-gefluechtete.info/category/fuer-die-oeffentlichkeit/  Вы уже получили разрешение на пребывание?";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_over_eighteen_months";"Да, больше 18 месяцев";"Так, більше 18 місяців";"Посмотреть, где возможность получить медицинскую помощь в разных землях Германии и записаться к врачу:";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_doctor_appointment";"Где записаться к врачу";"Де записатися до лікаря";"Возможность получить медицинскую помощь в разных землях Германии: http://www.gesundheit-ein-menschenrecht.de/kontaktstellen  Вы можете записаться на прием к врачу через сайты: https://www.bundesaerztekammer.de/service/arztsuche/   https://jameda.de/ukraine/  https://www.doctolib.de/ (можно посмотреть на каком языке говорит врач).  https://www.jameda.de/berlin/aerzte/gruppe/ (поиск врача, можно смотреть на каком языке говорит врач)  Медицинские предложения от европейской волонтерской сети (на английском): https://helppeopleleaveukraine.org/posting-category/medicine";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_yes_permit";"Да, есть разрешение на пребывание";"Так, є дозвіл на перебування";"Вы находитесь в Германии больше 18 месяцев?";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_krankenschein";"Нет карты Duldung";"Немає карти Duldung";"Запросите в социальной службе специальный больничный лист (Krankenschein). После его получения узнайте о возможности получить медицинскую помощь в разных землях Германии и запишитесь к врачу:";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_duldung_question";"Нет, менее 18 месяцев";"Ні, менше 18 місяців";"У вас есть специальная карта Duldung?";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_yes_duldung";"Да, есть карта Duldung";"Так, є карта Duldung";"Посмотреть, где возможность получить медицинскую помощь в разных землях Германии и записаться к врачу:";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_remote_doctor";"Удаленная консультация врача";"Віддалена консультація лікаря";"Вы можете воспользоваться удаленной консультацией врача: https://doctors4ua.com  https://viveohealth.com/free-online-doctor-consultation-for-ukraine  https://docs.google.com/spreadsheets/d/1hmuBUETnCCbkDn_ELdsd4Skzw30wLLVZE0fr_A3Fh24/edit#gid=0 (Включая удаленную помощь при родах)  https://www.tahicare.com/ukraine  Медицинские предложения от европейской волонтерской сети (на английском): https://helppeopleleaveukraine.org/posting-category/medicine";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_anonymous";"Получить помощь анонимно, без документов";"Отримати допомогу анонімно, без документів";"Вы можете найти помощь на сайтах:  http://www.gesundheit-ein-menschenrecht.de/kontaktstellen  https://www.malteser.de/menschen-ohne-krankenversicherung.html#c700739  https://medibueros.org/";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_pregnancy_question";"Беременность";"Вагітність";"Вы беременны?";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_pregnancy_keep";"Да, и хочу сохранить беременность";"Так, і хочу зберегти вагітність";"Подробную информацию вы можете получить на сайте: https://handbookgermany.de/ru/live/pregnancy.html";"";"2022-05-12"
"🇩🇪 Германия";"МЕДИЦИНА";"med_abortion";"Да, и хочу сделать аборт";"Так, і хочу зробити аборт";"Обратитесь в службу Schwangerschaftskonfliktberatung. Координаты вы можете найти на сайтах: https://www.profamilia.de//themen/schwangerschaftsabbruch  https://www.caritas.de/glossare/schwangerschaftskonfliktberatung  После консультации (переводчик будет представлен вам службой бесплатно), Вы получите направление на аборт.   Подробную информацию вы также можете получить на сайте: https://handbookgermany.de/ru/live/pregnancy.html";"";"2022-05-12"
